sample_type,parent_url,parent_url_len,ad_screenshot,TLD_len,NoOfSubDomain,HasObfuscation,ObfRatio,NoOfLettersInURL,letter_ratio_in_url,NoOfDigitsInURL,Digits_ratio_in_url,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,ad_screenshot_text
adjusted_news,https://www.foxbusiness.com/,28,screenshots/e9d228d2-5374-4508-86ef-d86f4951f427.png,3,1,True,0.1071428571428571,22,0.7857142857142857,0,0.0,0,0,0,2,0.0714285714285714,"Missing Nanne CENerfOr KYLIE BRIANN 4ISE8*S8 JEFFRIES Both photos shown are of Kylie _ She was last seen on October 30, 2019. TO REPORT INFORMATION 18008435678 CLICK FOR FULL DETAILS"
adjusted_news,http://www.eatingwell.com/,26,screenshots/f2e3f87b-369f-489f-9738-8cd2f9de6b3c.png,3,1,True,0.1153846153846153,20,0.7692307692307693,0,0.0,0,0,0,2,0.0769230769230769,"ADVERTISEMENT Did you purchase Atkins products that contained LEARN Have you purchased augar cohol:, including maltitol, Polyola sinco MORE ATKINS PRODUCTS? January 2013? If .0, you mey bo part of  clezo action lewveuit , you may qualify for reimburse CPIaiote ond MeOL"
adjusted_news,https://www.greenvilleonline.com/story/news/2020/01/20/ask-lafleur-why-were-greenville-police-keeping-blue-lights-around-christmas/4453852002/,142,screenshots/7facadb1-900a-4192-a92b-8a84349fa13c.png,3,1,True,0.1478873239436619,101,0.7112676056338029,18,0.1267605633802817,0,0,0,2,0.0140845070422535,PRESERVING THE PAST BUILDING A BETTER FUTURE WASHINGTON TRIBES
adjusted_news,https://www.foxbusiness.com/,28,screenshots/e9d228d2-5374-4508-86ef-d86f4951f427.png,3,1,True,0.1071428571428571,22,0.7857142857142857,0,0.0,0,0,0,2,0.0714285714285714,"Missing Nanne CENerfOr KYLIE BRIANN 4ISE8*S8 JEFFRIES Both photos shown are of Kylie _ She was last seen on October 30, 2019. TO REPORT INFORMATION 18008435678 CLICK FOR FULL DETAILS"
adjusted_news,https://www.syfy.com/syfywire/exclusive-sarah-kuhn-reveals-whats-next-for-her-superhero-series-with-haunted-heroine,115,screenshots/7bcdca4c-4aab-4ca3-bebc-e37e51552cb9.png,3,1,True,0.0260869565217391,96,0.8347826086956521,0,0.0,0,0,0,2,0.017391304347826,"Every 8 minutes, we respond to a disaster American Red Cross HELP NoW"
adjusted_news,https://www.usatoday.com/story/sports/tennis/2020/01/22/australian-open-elliot-benchetrit-asks-ball-girl-peel-banana/4539840002/,128,screenshots/f514ad77-44b4-4ad8-87de-aa0066d3b55b.png,3,1,True,0.1640625,88,0.6875,18,0.140625,0,0,0,2,0.015625,Puzzling History Photos Most People Haven't Seen Daily Sport X| Sponsored
adjusted_news,https://www.mensjournal.com/health-fitness/how-sebastian-stan-trains-to-play-marvels-winter-soldier/,100,screenshots/5526a3d0-f8c1-481e-a713-f595aa4266cd.png,3,1,True,0.03,83,0.83,0,0.0,0,0,0,2,0.02,THE WEB The 'Little Hercules' Doesn't Look Like This Anymore Nickiswifis com Porsha Williams Gives Update On Dennis McKinley Relationship BET com Mainstream Actors Who Turned to the Adult Industr NickiSwift com Powered By ZergNe Boy
adjusted_news,https://www.wishtv.com/sports/the-zone-january-17-2020/,55,screenshots/ccf33a1a-e575-4c06-bf35-45155eb44f0e.png,3,1,True,0.1636363636363636,37,0.6727272727272727,6,0.109090909090909,0,0,0,2,0.0363636363636363,The Main Reason Behind Sarah Palin's Divorce is Pretty Clear Now
adjusted_news,https://bdnews24.com/politics/2020/01/28/radwan-mujib-visits-dhaka-north-mayor-candidate-atiqul,95,screenshots/5a0ba2c0-379a-496f-b003-6019ae5ac2bc.png,3,0,True,0.1894736842105263,69,0.7263157894736842,10,0.1052631578947368,0,0,0,1,0.0105263157894736,20 Photos Captured At Airports That Will Make You Laugh Out Loud Bon Voyaged Sponsored
adjusted_news,https://www.greenvilleonline.com/story/news/2020/01/20/ask-lafleur-why-were-greenville-police-keeping-blue-lights-around-christmas/4453852002/,142,screenshots/fb0fed88-fd66-4a89-83b9-fec5c025d843.png,3,1,True,0.1478873239436619,101,0.7112676056338029,18,0.1267605633802817,0,0,0,2,0.0140845070422535,"At 55, Brad Pitt Is Living In This House Divorce Pay Day"
